X,year_model,policy_id,enactment_year,rel_year,p_yes,likert,domain,institution
20000,1933,US-1938-FDCA,1938,-5,0.2642,-0.1513,consumer_health,Congress
20000,1933,US-1938-FLSA,1938,-5,0.4084,-0.1606,labor,Congress
20000,1933,US-1941-EO8802,1941,-8,0.2338,-0.1218,civil_rights,President
20000,1933,US-1942-WICKARD,1942,-9,0.2594,-0.1622,state_capacity,Supreme Court
20000,1933,US-1930-SMOOT-HAWLEY,1930,3,0.4311,-0.1195,trade_political_economy,Congress
20000,1933,US-1932-RFC,1932,1,0.4609,-0.1135,finance_crisis_state_capacity,Congress
20000,1933,US-1932-NORRIS-LAGUARDIA,1932,1,0.132,-0.1185,labor_courts,Congress
20000,1933,US-1933-CCC,1933,0,0.4333,-0.0956,public_employment_environment,Congress
20000,1933,US-1933-FERA,1933,0,0.4902,-0.0976,welfare_relief,Congress
20000,1933,US-1933-HOME-OWNERS-LOAN,1933,0,0.2751,-0.0985,housing_finance,Congress
20000,1933,US-1934-NFA,1934,-1,0.3279,-0.1774,guns_crime_tax,Congress
20000,1933,US-1935-PUHCA,1935,-2,0.0988,-0.0914,utilities_finance,Congress
20000,1933,US-1936-RURAL-ELECTRIFICATION,1936,-3,0.295,-0.1262,rural_infrastructure,Congress
20000,1933,US-1939-HATCH-ACT,1939,-6,0.3668,-0.1567,civil_service_elections,Congress
20000,1933,US-1940-SELECTIVE-TRAINING,1940,-7,0.2229,-0.148,military_state_capacity,Congress
20000,1933,US-1940-SMITH-ACT,1940,-7,0.1399,-0.1075,security_civil_liberties_immigration,Congress
20000,1933,US-1941-DARBY,1941,-8,0.3401,-0.1334,labor_state_capacity,Supreme Court
20000,1933,US-1941-LEND-LEASE,1941,-8,0.1473,-0.1174,foreign_policy_security,Congress
20000,1933,US-1942-EMERGENCY-PRICE-CONTROL,1942,-9,0.3855,-0.1335,wartime_economic_control,Congress
20000,1933,US-1943-CHINESE-EXCLUSION-REPEAL,1943,-10,0.1835,-0.0912,immigration_race_foreign_policy,Congress
20000,1933,US-1933-TVA,1933,0,0.2934,-0.1122,regional_development_state_capacity,Congress
20000,1933,US-1933-NIRA,1933,0,0.389,-0.1201,industrial_policy_labor_state_capacity,Congress
20000,1933,US-1942-EO9066,1942,-9,0.3097,-0.1192,civil_liberties_security_race,President
5000,1933,US-1933-GLASS-STEAGALL,1933,0,0.4886,-0.1353,finance,Congress
5000,1933,US-1933-PROHIBITION-REPEAL,1933,0,0.4729,-0.1416,morals_federalism,constitutional_amendment
5000,1933,US-1933-SECURITIES-ACT,1933,0,0.398,-0.123,finance_consumer_protection,Congress
5000,1933,US-1934-EXCHANGE-ACT,1934,-1,0.3497,-0.1296,finance_state_capacity,Congress
5000,1933,US-1934-IRA,1934,-1,0.3942,-0.145,native_policy,Congress
5000,1933,US-1934-NATIONAL-HOUSING-ACT,1934,-1,0.5195,-0.1228,housing_finance,Congress
5000,1933,US-1935-NIRA-SCHECHTER,1935,-2,0.3713,-0.1244,state_capacity,Supreme Court
5000,1933,US-1935-NLRA,1935,-2,0.596,-0.1556,labor,Congress
5000,1933,US-1935-SOCIAL-SECURITY,1935,-2,0.5177,-0.1261,social_insurance,Congress
5000,1933,US-1936-AAA-BUTLER,1936,-3,0.3879,-0.1391,state_capacity,Supreme Court
5000,1933,US-1937-JONES-LAUGHLIN,1937,-4,0.3301,-0.1291,labor_state_capacity,Supreme Court
5000,1933,US-1937-WEST-COAST-HOTEL,1937,-4,0.3099,-0.147,labor,Supreme Court
5000,1933,US-1938-FDCA,1938,-5,0.3553,-0.1637,consumer_health,Congress
5000,1933,US-1938-FLSA,1938,-5,0.5525,-0.1554,labor,Congress
5000,1933,US-1941-EO8802,1941,-8,0.2917,-0.1236,civil_rights,President
5000,1933,US-1942-WICKARD,1942,-9,0.342,-0.1366,state_capacity,Supreme Court
5000,1933,US-1930-SMOOT-HAWLEY,1930,3,0.4123,-0.119,trade_political_economy,Congress
